"token_address","name","symbol","decimals","logo_uri"
"5ERtyzCZi6WzNoXf4f37NsTZPepStXZMJqYCcgNFpump","live","live",6,"https://ipfs.io/ipfs/QmTZTznpV5FTTTAQYLktw3xGPCqYPdmU8mSpZs4NYgY8M3"
"DR8JM2nbPY9mrDAoSJ7LTukM1hVhtJ98dCAbhxZspump","Justice For Louie","Louie",6,"https://ipfs.io/ipfs/bafybeifwerqotziuvobdtejl6zhq6okjadnejmkzsp2bhppc4kcthouqze"
"AmceK8PB7soDGGE2hYM1qeS7q4rYXdjmETY4Sd9kGgbJ","MEW BOT TRADING","MEW",9,"https://ipfs.io/ipfs/bafkreifx7jsuty3sihhn4nkft56e4plk3efamgegn4mo3to5whywsi2hwq"
"483aaruH5KjtQJc7M6gvZsnMBYgGAuVD66RW1G6ppump","1st Internet Meme","COW",6,"https://ipfs.io/ipfs/QmcGuccxqcYNtP1DW2QcKLuUu5x7ngzwTA5BeHNXAtFovM"
"89ZdbcgnmU2NyoaE7RP7e58pJkV8V2sM74rWeTB1ASXZ","Paul/Massie 2028","P2",6,"https://ipfs.io/ipfs/QmSUe94vj5UF99AXyhHBFTo3uA7YQhRL8u1oThNpszvoy6"
"4Fc9CBeAy2sPooHcRux3PnLC9ap9tFp5NxHn1hC8pump","Umamusume Pretty Derby","UPD",6,"https://ipfs.io/ipfs/QmR6Qt6t4p4iRSVF3oqiV1w8fcQbx71fa6rPn7rFu25KBb"
"9nGYsk178NMqYpJpgxWVgZ1R4KPeiSuVx6KMgsPefHEH","American Steel","MAGA",6,"https://ipfs.io/ipfs/QmVg9jVsQTATVVsJzAyYjwGYSXtRhbj64NeMyVN5fRgZ7b"
"CyqG2qFYpMpUJQ5Y8yn1kYMMvwugV7GqJje9ddoNNop7","Ropewifhat","$RWH",6,"https://ipfs.io/ipfs/QmXPJPb8rNbfNanP7rWayRDwadDnj4AyaaR9PADwax4NnZ"
"TzceybHhCqzDx6FgN8iTUcirJaoxSzjEoZ4aWixpump","mangafication","MANGA",6,"https://ipfs.io/ipfs/QmQK6syHxbzZmBPKKMeSfZ92Bki82BkkLrZ4XBiQLAgfiN"
"3krraoDmPSocdeEXzXaysrT6GQL4Br4vFhtLzrHSpump","VIRAL ORANGE SWAN EVENT","VOSE",6,"https://ipfs.io/ipfs/QmfGDrLHNsYnUCmcnxTr6zxKPQQgiGB4XgBy9qskh4xYpk"
"2cxToNQr1jvNkyAbLc2oTm2oRfzqyW1kpxtPzi9pjups","Methane Coin","METH",6,"https://static-create.jup.ag/images/2cxToNQr1jvNkyAbLc2oTm2oRfzqyW1kpxtPzi9pjups"
"5tCLqrxRozSfxMU7G6SGKKJ4f6MPKRBMZ5p6zfSJpump","DOCOMOJIS","DOCOMO",6,"https://ipfs.io/ipfs/bafkreigbvqrnskkd3njmf4humj75xbgx4je6o7e5rqdrpevpmufztpt2ii"
